"filename", "language", "JSON", "Markdown", "JavaScript", "Pug", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_table.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_tag.scss", "SCSS", 0, 0, 0, 0, 0, 55, 0, 0, 2, 57
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 67, 0, 2, 10, 79
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\partials\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\public\sass\style.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\readme.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 22, 43
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\routes\index.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 8, 16, 59
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\start.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 6, 7, 38
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\account.pug", "Pug", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\calendar.pug", "Pug", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\calendars.pug", "Pug", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\callback.pug", "Pug", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\callbacks.pug", "Pug", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\editCallback.pug", "Pug", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\editEvent.pug", "Pug", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\email\email-layout.pug", "Pug", 0, 0, 0, 27, 0, 0, 0, 2, 2, 31
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\email\password-reset.pug", "Pug", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\email\styles.css", "CSS", 0, 0, 0, 0, 205, 0, 0, 27, 32, 264
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\error.pug", "Pug", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\layout.pug", "Pug", 0, 0, 0, 89, 0, 0, 0, 0, 3, 92
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\login.pug", "Pug", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\map.pug", "Pug", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\mixins\_calendarCard.pug", "Pug", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\mixins\_calendarForm.pug", "Pug", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\mixins\_callbackCard.pug", "Pug", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\mixins\_callbackForm.pug", "Pug", 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\mixins\_forgot.pug", "Pug", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\mixins\_loginForm.pug", "Pug", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\register.pug", "Pug", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\reset.pug", "Pug", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\views\tag.pug", "Pug", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\rbosk\OneDrive\Desktop\Code\WebDev\NCUJHS\NCUJHS\webpack.config.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 30, 10, 82
"Total", "-", 10935, 21, 2533, 318, 1036, 1002, 204, 1285, 998, 18332
